"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B00GQDORA4","B00GQDORA4","Rode VMGO Video Mic GO Lightweight On-Camera Microphone Super-Cardio","J4-UFTH-6RXR","1,950","12.81%","2,677","13.19%","99%","79","4.05%","Can$10,981.00","78"
"B00EO4A7L0","B00EO4A7L0","Rode smartLav+ Lavalier Microphone for iPhone and Smartphones","EL-0IBP-4KGG","1,090","7.16%","1,397","6.88%","98%","63","5.78%","Can$7,245.00","59"
"B0002Z82XA","B0002Z82XA","Behringer HPS3000 Studio Headphones","V4-Y6BD-MVCH","416","2.73%","546","2.69%","97%","26","6.25%","Can$1,024.97","23"
"B00266DM2O","B00266DM2O","Pace Ilok II","00-PXWJ-I3G5","74","0.49%","96","0.47%","100%","13","17.57%","Can$793.00","13"
"B00X741TB0","B00X741TB0","M-Audio AV42 Professional Studio Monitor Speakers (Pair)","FK-WIFP-KOKQ","1,216","7.99%","1,663","8.19%","38%","13","1.07%","Can$2,327.00","13"
"B00COPKOUK","B00COPKOUK","ARTURIA MiniLab 230401 25-Key MIDI Controller","92-80A1-M5M4","345","2.27%","468","2.31%","95%","12","3.48%","Can$1,548.00","12"
"B002M8GBDI","B002M8GBDI","Akai Professional LPK25 25-Key Ultra-Portable USB MIDI Keyboard Controller for Laptops","0B-GSY7-566W","431","2.83%","573","2.82%","87%","11","2.55%","Can$935.00","11"
"B002QAUOKS","B002QAUOKS","Rode NT1A Anniversary Vocal Condenser Microphone Package","QP-ICO0-4FRC","707","4.64%","918","4.52%","99%","11","1.56%","Can$3,949.00","11"
"B00I2J4V5G","B00I2J4V5G","Yamaha MG06X 6-Input Compact Stereo Mixer","S9-CLBC-U3T1","280","1.84%","376","1.85%","95%","9","3.21%","Can$1,259.91","9"
"B00IBIVL42","B00IBIVL42","Yamaha MG10XU 10-Input Stereo Mixer","N9-VVNK-1VJ8","250","1.64%","377","1.86%","95%","10","4.00%","Can$2,499.90","9"
"B00EO7UNXO","B00EO7UNXO","KRK RP5G3-NA Rokit 5 Generation 3 Powered Studio Monitor","JB-LX2F-A0IZ","740","4.86%","1,021","5.03%","84%","14","1.89%","Can$3,066.00","8"
"B0116X17JW","B0116X17JW","Akai Professional MPD218 Midi Pad Controller","NN-FJII-8UU9","208","1.37%","301","1.48%","82%","8","3.85%","Can$952.00","8"
"B00LOAA10O","B00EO5Q6L4","KRK RP6G3-NA Rokit 6 Generation 3 Powered Studio Monitor","O8-4XCR-IHCU","350","2.30%","480","2.36%","93%","12","3.43%","Can$3,468.00","6"
"B004M8UZG0","B004M8UZG0","Korg nanoKEY2 Slim-Line USB Keyboard, Black","F6-TSXW-E5GE","134","0.88%","184","0.91%","92%","5","3.73%","Can$345.00","5"
"B00CFOX420","B00CFOX420","Yamaha HS5 Studio Monitor, Black","OF-QTM0-LOE1","401","2.63%","556","2.74%","91%","9","2.24%","Can$2,119.91","5"
"B00HHEVL3C","B00HHEVL3C","Apogee MiC 96k Professional Quality Microphone for iPad, iPhone, and Mac","MD-49OT-5RVA","174","1.14%","250","1.23%","97%","5","2.87%","Can$1,495.00","5"
"B01CO35MGW","B01CO35MGW","Steinberg eLicenser - USB Key - License Management and Copy Protection","DS-YGJH-RWML","35","0.23%","48","0.24%","73%","5","14.29%","Can$184.95","5"
"B002QAUOKS","B002QAUOKS","Rode NT1A Anniversary Vocal Condenser Microphone Package","IT-HHKO-JX91","707","4.64%","918","4.52%","99%","4","0.57%","Can$1,436.00","4"
"B00CAKSVTU","B00CAKSVTU","Korg VOLCAKEYS - Analog Synth Machine","EA-ICS3-HO0Y","199","1.31%","266","1.31%","42%","4","2.01%","Can$916.00","4"
"B00HVO7FXI","B00HVO7FXI","Moog Theremin - Theremini","O4-4NB8-YLUS","144","0.95%","170","0.84%","94%","4","2.78%","Can$1,596.00","4"
"B00TDZPGKC","B00TDZPGKC","CME Xkey 37-key Mobile Keyboard Controller","DP-F7D6-8270","41","0.27%","62","0.31%","92%","4","9.76%","Can$1,079.96","4"
